enes kral
test_anahtari_0_0 donanim_test_verisi
test_anahtari_1_0 donanim_test_verisi
test_anahtari_2_0 donanim_test_verisi
test_anahtari_4_0 donanim_test_verisi
test_anahtari_0_1 donanim_test_verisi
test_anahtari_1_1 donanim_test_verisi
test_anahtari_4_1 donanim_test_verisi
test_anahtari_3_0 donanim_test_verisi
test_anahtari_0_2 donanim_test_verisi
test_anahtari_7_0 donanim_test_verisi
test_anahtari_2_1 donanim_test_verisi
test_anahtari_1_2 donanim_test_verisi
test_anahtari_0_3 donanim_test_verisi
test_anahtari_5_0 donanim_test_verisi
test_anahtari_3_1 donanim_test_verisi
test_anahtari_4_2 donanim_test_verisi
test_anahtari_6_0 donanim_test_verisi
test_anahtari_2_2 donanim_test_verisi
test_anahtari_1_3 donanim_test_verisi
test_anahtari_6_1 donanim_test_verisi
test_anahtari_0_4 donanim_test_verisi
test_anahtari_4_3 donanim_test_verisi
test_anahtari_8_0 donanim_test_verisi
test_anahtari_3_2 donanim_test_verisi
test_anahtari_7_1 donanim_test_verisi
test_anahtari_2_3 donanim_test_verisi
test_anahtari_9_0 donanim_test_verisi
test_anahtari_6_2 donanim_test_verisi
test_anahtari_8_1 donanim_test_verisi
test_anahtari_9_1 donanim_test_verisi
test_anahtari_7_2 donanim_test_verisi
test_anahtari_1_4 donanim_test_verisi
test_anahtari_4_4 donanim_test_verisi
test_anahtari_3_3 donanim_test_verisi
test_anahtari_6_3 donanim_test_verisi
test_anahtari_0_5 donanim_test_verisi
test_anahtari_9_2 donanim_test_verisi
test_anahtari_2_4 donanim_test_verisi
test_anahtari_3_4 donanim_test_verisi
test_anahtari_5_1 donanim_test_verisi
test_anahtari_8_2 donanim_test_verisi
test_anahtari_4_5 donanim_test_verisi
test_anahtari_1_5 donanim_test_verisi
test_anahtari_7_3 donanim_test_verisi
test_anahtari_6_4 donanim_test_verisi
test_anahtari_1_6 donanim_test_verisi
test_anahtari_2_5 donanim_test_verisi
test_anahtari_0_6 donanim_test_verisi
test_anahtari_4_6 donanim_test_verisi
test_anahtari_6_5 donanim_test_verisi
test_anahtari_4_7 donanim_test_verisi
test_anahtari_8_3 donanim_test_verisi
test_anahtari_9_3 donanim_test_verisi
test_anahtari_1_7 donanim_test_verisi
test_anahtari_0_7 donanim_test_verisi
test_anahtari_5_2 donanim_test_verisi
test_anahtari_3_5 donanim_test_verisi
test_anahtari_7_4 donanim_test_verisi
test_anahtari_9_4 donanim_test_verisi
test_anahtari_6_6 donanim_test_verisi
test_anahtari_4_8 donanim_test_verisi
test_anahtari_5_3 donanim_test_verisi
test_anahtari_1_8 donanim_test_verisi
test_anahtari_7_5 donanim_test_verisi
test_anahtari_0_8 donanim_test_verisi
test_anahtari_1_9 donanim_test_verisi
